COLLISION_ID,index,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET
4275869,13120,1/17/20,15:00:00,QUEENS,11355,40.75662,-73.81718,"(40.75662, -73.81718)",1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,Sedan,Bike,PARSONS BOULEVARD
4275361,13190,1/17/20,16:00:00,QUEENS,11378,40.716793,-73.92155,"(40.716793, -73.92155)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,GRAND AVENUE
4278341,13117,1/17/20,19:00:00,BRONX,10452,40.844063,-73.921,"(40.844063, -73.921)",1,0,0,0,1,0,0,0,Traffic Control Disregarded,Unspecified,E-Scooter,Station Wagon/Sport Utility Vehicle,WEST 172 STREET
4275307,13206,1/17/20,21:00:00,QUEENS,11105,40.775368,-73.90962,"(40.775368, -73.90962)",1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,DITMARS BOULEVARD
4276160,13022,1/18/20,12:00:00,BRONX,10458,40.86226,-73.89589,"(40.86226, -73.89589)",1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,Bike,Sedan,EAST FORDHAM ROAD
4275212,13082,1/18/20,18:00:00,MANHATTAN,10003,40.732643,-73.98157,"(40.732643, -73.98157)",1,0,0,0,1,0,0,0,Driver Inexperience,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,EAST 16 STREET
4276287,13076,1/18/20,20:00:00,MANHATTAN,10005,40.70638,-74.009514,"(40.70638, -74.009514)",1,0,0,0,1,0,0,0,Passenger Distraction,Unspecified,Taxi,Bike,WILLIAM STREET
4276633,13012,1/19/20,0:00:00,QUEENS,11377,40.74573,-73.90212,"(40.74573, -73.90212)",1,0,0,0,1,0,0,0,Turning Improperly,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,ROOSEVELT AVENUE
4275506,13207,1/19/20,9:00:00,QUEENS,11370,40.76757,-73.90052,"(40.76757, -73.90052)",1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,ASTORIA BOULEVARD
4275698,13004,1/19/20,9:00:00,QUEENS,11373,40.737335,-73.870415,"(40.737335, -73.870415)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,Bike,92 STREET
4276660,13052,1/19/20,11:00:00,MANHATTAN,10029,40.792927,-73.94791,"(40.792927, -73.94791)",1,0,0,0,1,0,0,0,Following Too Closely,Unspecified,Taxi,Bike,EAST 106 STREET
4275841,13011,1/19/20,15:00:00,QUEENS,11103,40.76548,-73.913704,"(40.76548, -73.913704)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Sedan,Bike,STEINWAY STREET
4275877,13235,1/19/20,21:00:00,MANHATTAN,10009,40.729427,-73.97801,"(40.729427, -73.97801)",1,0,0,0,1,0,0,0,Passenger Distraction,Driver Inattention/Distraction,Taxi,Bike,EAST 14 STREET
4279423,13214,1/20/20,10:00:00,BRONX,10472,40.83082,-73.87001,"(40.83082, -73.87001)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,WESTCHESTER AVENUE
4276527,13134,1/20/20,18:00:00,BROOKLYN,11218,40.65159,-73.98112,"(40.65159, -73.98112)",1,0,0,0,1,0,0,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,MC DONALD AVENUE
